,game_id,year,season,speaker,receiver,message,receiver_annotation,sender_annotation,score_delta
0,1,1901,Spring,italy,germany,"Germany!

Just the person I want to speak with. I have a somewhat crazy idea that I’ve always wanted to try with I/G, but I’ve never actually convinced the other guy to try it. And, what’s worse, it might make you suspicious of me. 

So...do I suggest it?

I’m thinking that this is a low stakes game, not a tournament or anything, and an interesting and unusual move set might make it more fun? That’s my hope anyway.

What is your appetite like for unusual and crazy?",True,True,0
1,1,1901,Spring,germany,italy,"You've whet my appetite, Italy. What's the suggestion?",True,True,0
2,1,1901,Spring,italy,germany,👍,True,True,0
3,1,1901,Spring,germany,italy,It seems like there are a lot of ways that could go wrong...I don't see why France would see you approaching/taking Munich--while I do nothing about it--and not immediately feel skittish,True,True,0
4,1,1901,Spring,italy,germany,"Yeah, I can’t say I’ve tried it and it works, cause I’ve never tried it or seen it. But how I think it would work is (a) my Spring move looks like an attack on Austria, so it would not be surprising if you did not cover Munich. Then (b) you build two armies, which looks like we’re really at war and you’re going to eject me. Then we launch the attack in Spring. So there is really no part of this that would raise alarm bells with France.

All that said, I’ve literally never done it before, and it does involve risk for you, so I’m not offended or concerned if it’s just not for you. I’m happy to play more conventionally too. Up to you.",NOANNOTATION,True,0
5,1,1901,Spring,italy,germany,"I am just sensing that you don’t like this idea, so shall we talk about something else? That was just a crazy idea I’ve always wanted to try. I’m happy to play more conservatively.",NOANNOTATION,True,0
6,1,1901,Spring,italy,germany,Any thoughts?,NOANNOTATION,True,0
7,1,1901,Spring,germany,italy,"Sorry Italy I've been away doing, um, German things. Brewing Lagers?",True,True,0
8,1,1901,Spring,germany,italy,"I don't think I'm ready to go for that idea, however I'd be down for some good ol'-fashioned Austria-kicking?",False,True,0
9,1,1901,Spring,italy,germany,I am pretty conflicted about whether to guess that you were telling the truth or lying about the “brewing lagers” thing. I am going to take it literally and say 👎 even though I don’t think you meant it deceptively. 😉,True,True,0
10,1,1901,Spring,italy,germany,"But I think I can get over “Lagergate” and we can still be friends. 

As of right now, I think Austria may be my most reliable ally. I’m thinking I’d like to play as a Central Trio if you have any interest in that. Thoughts?",True,True,0
11,1,1901,Spring,germany,italy,"We haven't even passed a season yet and you have a 'most reliable ally'?

I'll consider this proposal but, basically, I'm not going to expose myself to risk from either of you until I've seen a bit of your behavior",True,True,0
12,1,1901,Spring,italy,germany,"Well, at least I have an idea of who to trust. Obviously, my ideas are subject to change. 

I understand your desire to watch behavior before committing to anything. I, personally, am a partner player. I look carefully early in the game for a small group to work with, and then I value loyalty and collaboration. I like to work closely with a tight-knit alliance. 

If you prefer to hop and back and forth, or play more of an individual game, then we might not be a good match. 

I’m looking for a loyal ally or two that I can coordinate with and make awesome moves with. Makes the game easier and a lot more fun.",True,True,0
13,1,1901,Spring,italy,germany,"Just an FYI: I’ve now had both England and France suggest to me that I should move to Tyrolia and France will support me to Munich in the Fall. One saying that to me is not a big deal, but with both mentioning it, my alarm bells are going off. I am concerned about an E/F. 

I’m certainly not moving to Tyrolia. But I just want you to be cautious here. I feel like England and France are working together.",True,True,0
14,1,1901,Fall,germany,italy,"I appreciate the tip, but I'm wondering why you're so against ousting me from Munich if I haven't explicitly agreed to be your ally?",True,True,0
15,1,1901,Fall,italy,germany,"Because it is terrible, terrible play for Italy to attack Germany, in my view. If I were to attack you in Munich, I could never hold Munich. So, all I would be doing is weakening you, and helping France, England, or both to get really big. 

I don’t have any long-term path going north. Helping France to take you down is a sucker’s play, whether you are working with me or not.",NOANNOTATION,True,0
16,1,1901,Fall,italy,germany,"Did France tell you he was moving to Burgundy, or was that a stab?",True,True,0
